frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
167,311,191,38,-1,-1,-1,-1
168,312,190,37,-1,-1,-1,-1
169,312,191,38,-1,-1,-1,-1
170,312,190,36,-1,-1,-1,-1
171,312,190,36,-1,-1,-1,-1
172,312,191,38,-1,-1,-1,-1
173,312,191,38,-1,-1,-1,-1
174,312,191,38,-1,-1,-1,-1
175,311,191,38,328,164,-1,-1
176,311,191,38,325,163,-1,-1
177,311,191,38,322,163,-1,-1
178,312,191,38,319,164,-1,-1
179,311,191,38,316,166,-1,-1
180,311,191,38,313,169,-1,-1
181,311,191,38,311,172,-1,-1
182,311,191,38,310,175,-1,-1
183,312,191,38,308,179,-1,-1
184,311,191,37,307,183,-1,-1
185,311,191,38,308,192,-1,-1
186,311,192,37,309,196,-1,-1
187,312,192,37,312,204,-1,-1
188,312,192,37,315,208,-1,-1
189,312,192,37,317,210,-1,-1
190,312,192,37,320,212,-1,-1
191,312,192,37,323,214,-1,-1
192,311,192,37,327,214,-1,-1
193,311,191,38,330,215,-1,-1
194,311,191,38,333,214,-1,-1
195,309,192,36,-1,-1,-1,-1
196,312,193,37,-1,-1,-1,-1
197,312,192,37,-1,-1,-1,-1
198,312,190,36,-1,-1,-1,-1
199,312,190,36,-1,-1,-1,-1
200,312,192,36,-1,-1,-1,-1
201,311,192,38,-1,-1,-1,-1
202,310,193,38,-1,-1,-1,-1
203,312,192,36,-1,-1,-1,-1
204,312,192,36,-1,-1,-1,-1
205,312,192,36,-1,-1,-1,-1
206,311,192,38,-1,-1,-1,-1
207,312,193,38,-1,-1,-1,-1
208,311,191,38,-1,-1,-1,-1
209,312,191,37,-1,-1,-1,-1
210,311,192,38,-1,-1,-1,-1
211,311,192,37,-1,-1,-1,-1
212,312,192,37,326,164,-1,-1
213,311,192,37,322,163,-1,-1
214,311,192,37,320,164,-1,-1
215,311,192,37,317,165,-1,-1
216,311,192,37,314,167,-1,-1
217,311,192,37,311,169,-1,-1
218,311,192,37,309,173,-1,-1
