segment_id,mode,n_samples,duration,sigma_x,sigma_y,sigma_z
1,FIXED,7038,37.5971999168396,0.9541441067163855,1.2999124655597,3.197243707861728
2,PD,6962,37.965399980545044,0.781260429591469,0.6326986344753898,1.749697618222346
3,FIXED,6782,40.32240009307861,0.8568500864047298,0.8449094728196614,1.7358342818129806
4,PD,6920,36.533299922943115,0.8339133535645814,0.7162722997017005,1.3149527489048942
5,FIXED,6879,37.2859001159668,1.0354229540505069,1.029275498965404,2.039133618237344
6,PD,7047,36.912999868392944,0.7706368601060021,0.7628264601635321,1.2759778076367747
7,FIXED,6885,36.83680009841919,0.8746754251089017,0.8183414515612086,2.118981099283265
8,PD,6879,36.80239987373352,0.6545318533826116,0.5786589315777333,1.4382527065681552
9,FIXED,6901,39.32360005378723,1.2017430574544563,1.4291027917197974,3.2040600132186587
10,PD,7162,29.995399951934814,0.7932585288067452,0.6534847101161961,1.5156040915370292
