timestamp,v_mean,n_samples,z_cmd_mm,u_mean,r_mean
2026-04-23 19:06:05,327.46771064122515,2400,400.0,237.45539354960124,39.53545294125875
2026-04-23 19:06:35,322.06610013280243,2334,402.0,237.67553052599857,39.45883432206887
2026-04-23 19:07:05,318.45020288552786,2301,404.0,236.94816020383672,39.39321316019031
2026-04-23 19:07:37,315.1178770193902,2299,406.0,237.57123770429652,39.43889145189495
2026-04-23 19:08:07,316.0567120502299,2338,408.0,238.71025608868757,39.41907209815685
2026-04-23 19:08:36,311.89414079446914,2323,410.0,238.0003799523868,39.5936360320191
2026-04-23 19:09:21,309.7066168115634,2322,412.0,238.08455144075563,39.34483729057739
2026-04-23 19:09:50,305.28775390625,2325,414.0,238.30262519426245,39.320437674573675
2026-04-23 19:10:25,300.113789122457,2321,416.0,237.22187480408792,39.473832639524105
2026-04-23 19:11:42,297.50259508213526,2272,418.0,239.23918051786825,39.49465815282204
2026-04-23 19:12:27,329.99753479754446,2277,398.0,238.26973777640322,39.39934623225719
2026-04-23 19:12:58,333.7002975309873,2279,396.0,238.3053732617166,39.439131287745916
2026-04-23 19:13:26,337.1498367778042,2280,394.0,238.3458987118905,39.24986892666733
2026-04-23 19:14:06,339.80651412320265,2276,392.0,236.68841696204535,39.41286453086169
2026-04-23 19:14:46,341.91799942163965,2278,390.0,234.96255467040586,39.298400495427025
2026-04-23 19:15:28,346.2594210245321,2275,388.0,237.11462633070056,39.41294234391097
2026-04-23 19:16:14,351.05814220659965,2274,386.0,236.44211146238086,39.492467174009995
2026-04-23 19:16:47,351.39930826198014,2279,384.0,236.7843551870081,39.35114715328442
2026-04-23 19:17:34,355.3421625364335,2277,382.0,237.77371534800707,39.32153288649005
