timestamp,u_mean,v_mean,n_samples,x_cmd_mm,y_cmd_mm,z_cmd_mm
2026-02-25 18:11:13,338.2452904837472,238.1375494820731,210,0.0,0.0,400.0
2026-02-25 18:24:18,393.5298967406648,185.5599691020369,211,25.0,25.0,400.0
2026-02-25 18:28:40,289.2742366245815,289.4742976597377,210,-25.0,-25.0,400.0
2026-02-25 18:31:24,390.414410836356,290.98857527233304,210,25.0,-25.0,400.0
2026-02-25 18:37:50,286.6157948982202,188.70728575784054,209,-25.0,25.0,400.0
2026-02-25 18:40:48,410.23915710449216,240.12222264607746,210,35.0,0.0,400.0
2026-02-25 18:44:59,339.238270350865,164.91801332746232,210,0.0,35.0,400.0
2026-02-25 18:47:32,338.2366572375546,315.15441641423376,211,0.0,-35.0,400.0
2026-02-25 18:51:35,271.4062326078731,240.27484073006147,211,-35.0,0.0,400.0
