timestamp,u_mean,v_mean,n_samples,x_cmd_mm,y_cmd_mm,z_cmd_mm
2026-04-07 17:28:18,333.78031250322033,228.3492195749786,1611,0.0,0.0,400.0
2026-04-07 17:28:51,339.0493903769404,220.72116730066142,1573,4.0,8.0,400.0
2026-04-07 17:29:13,338.86666940534894,240.588431797234,1571,4.0,-8.0,400.0
2026-04-07 17:29:38,329.96433596116907,239.14387243504896,1573,-4.0,-8.0,400.0
2026-04-07 17:29:57,330.3281103596799,220.46484970276381,1579,-4.0,8.0,400.0
2026-04-07 17:30:26,311.6971464120283,216.36450975435275,1554,-20.0,10.0,400.0
2026-04-07 17:30:45,327.9437783166605,222.04855578329668,1571,-6.0,6.0,400.0
2026-04-07 17:31:31,358.0482139397852,218.71944884780032,1610,20.0,10.0,400.0
2026-04-07 17:31:50,348.51662243671296,218.84948403020823,1610,14.0,8.0,400.0
