timestamp,v_mean,n_samples,z_cmd_mm,u_mean,r_mean
2026-04-07 17:12:46,320.77502820752767,1617,400.0,237.6455596942701,39.27112173577039
2026-04-07 17:13:24,240.20473936798513,1539,450.0,239.4880419081105,39.30164519093732
2026-04-07 17:15:00,278.6903207385586,1542,426.0,240.14675312561747,39.503466646958884
2026-04-07 17:15:21,358.27753603458405,1536,376.0,237.26479051510492,39.179165768126644
2026-04-07 17:15:40,401.8288986951598,1535,350.0,237.17226417367544,39.07195039183775
2026-04-07 17:17:41,307.881164053939,1597,408.0,239.8290307911471,39.13899446653439
2026-04-07 17:18:06,332.2341864926608,1531,392.0,238.44432917021211,39.21570900357057
2026-04-07 17:18:22,326.34167381928626,1533,396.0,238.4687381154637,39.35707874882867
2026-04-07 17:18:38,312.11015306833764,1527,404.0,238.00975304424333,39.35107754630518
